,Асимметрия челюсти,Высота бровей,Наклон глаз,Полнота верхней губы,Полнота нижней губы,Асимметрия размера глаз,Ширина посадки глаз,Скулы,Форма головы,Верхнее веко,Асимметрия брови,Наклон бровей,Размер рта,Асимметрия наклона глаз,Асимметрия носа,Размер глаз,Оттопыренность ушей,Ширина челюсти,Уголки рта,Форма бровей,Асимметрия челюсти cat,Высота бровей cat,Наклон глаз cat,Полнота верхней губы cat,Полнота нижней губы cat,Асимметрия размера глаз cat,Ширина посадки глаз cat,Скулы cat,Форма головы cat,Верхнее веко cat,Асимметрия брови cat,Наклон бровей cat,Размер рта cat,Асимметрия наклона глаз cat,Асимметрия носа cat,Размер глаз cat,Оттопыренность ушей cat,Ширина челюсти cat,Уголки рта cat,Форма бровей cat,anfas_bbox,anfas_roll,anfas_pitch,anfas_yaw,anfas_keypoints,anfas_path
0,0.9888457053736079,0.1592197635049684,-8.425621170919541,1.0942848298966494,4.7487832240798,0.9752093043167959,0.8709559235581771,9.499900061320908,1.5301695023009765,0.44097307760529003,0.34627551814449653,4.3130180134409555,35.72447877147971,-0.8375446768242623,0.2995600112616797,5.6034791027383495,18.78866406048964,0.8737755277801017,-2.0213649403560154,"[0.04731930047273636, 0.026797650381922722, 0.9247390031814575, 0.0011440006783232093]",Нет асимметрии,Низкая,Вверх,Средне-тонкая,Средне-тонкая,Без ассиметрии,Близко,Cредне выражены,Долих,Выраженные,Нет асимметрии,Без наклона,Средний,Нет ассиметрии,Отсутствует,Средние,Средние,Средне-узкая,Пряые,Прямые,"[150, 198, 660, 876]",-2.3,-7.1,-2.6,"[[291, 444], [527, 451], [415, 607], [314, 715], [496, 723]]",data/humans/23377_1.jpg
1,1.8712135976395423,0.21581154001745642,-4.792104569414647,1.9113577368072892,8.148659182139799,0.9607504113383324,0.8822259522912395,8.098111903453324,1.6893155505478472,0.6623204653665089,1.5032575359695421,-3.3270535444086855,45.491842077281916,3.2039249035829522,1.8427082370495795,5.979316428671945,15.927981140060746,0.9324148462215596,4.036246861374115,"[0.08665512502193451, 0.24548573791980743, 0.6482749581336975, 0.019584134221076965]",Нет асимметрии,Средняя,Средний,Средняя,Средне-полная,Без ассиметрии,Близко,Cредне выражены,Долих,Выраженные,Левая вверх,Домиком,Большой,Правый,Влево,Средние,Средние,Средне-широкая,Вверх,Прямые,"[80, 88, 730, 1024]",-0.9,-5.5,-0.1,"[[251, 471], [544, 465], [409, 652], [286, 822], [539, 813]]",data/humans/3557_1.jpg
2,1.332272437764119,0.1815473077474442,0.8346964800287537,1.0742251298706387,4.187657285936389,1.0425645894735296,0.7659169730775828,13.727595607831216,1.3238153558074452,0.4155069112823995,-0.8405123799049741,21.344904653997393,39.695466378645925,-0.8346964800287315,1.7108819969659217,5.223395854988642,20.20999820604083,0.8632980658628938,0.46832112936958137,"[0.2599807381629944, 0.005138075444847345, 0.596882164478302, 0.13799893856048584]",Нет асимметрии,Средне-Низкая,Средний,Средне-тонкая,Средне-тонкая,Без ассиметрии,Близко,Выражены,Мезо,Выраженные,Нет асимметрии,Атакующие,Средне-большой,Нет ассиметрии,Влево,Средне-маленькие,Средние,Средне-узкая,Пряые,Прямые,"[74, 172, 635, 993]",-1.4,-9.0,-5.8,"[[227, 501], [493, 510], [372, 679], [253, 798], [467, 800]]",data/humans/wild_0569_1.jpg
3,0.0025133034818763944,0.21778332432442185,-16.706118215226326,2.378289226025027,8.548308516981635,1.0388603490552293,0.8459052531413076,4.128903757726544,1.2996858956321382,0.5740217187262109,-0.6323322178369293,26.26927332907494,32.32463525512889,2.556340574105805,-0.3576170540868441,6.488659782335257,24.285347730537246,0.8545945510097834,17.682150923980288,"[0.5780298709869385, 0.005794493947178125, 0.01849963515996933, 0.3976759910583496]",Нет асимметрии,Средняя,Вверх,Полная,Полная,Без ассиметрии,Близко,Cредне выражены,Мезо,Выраженные,Нет асимметрии,Атакующие,Маленький,Нет ассиметрии,Отсутствует,Большие,Оттопыренные,Средне-узкая,Вверх,Излом,"[63, 111, 656, 948]",-0.0,-12.7,-0.3,"[[228, 444], [512, 456], [365, 650], [252, 763], [467, 764]]",data/humans/wild_0487_1.jpg
4,1.69092522687058,0.26829049096524427,3.405016444112789,1.1829352697444404,4.611398468396173,0.9774118736587051,0.785799822364069,2.416030917943374,1.3685569554519572,0.7684469186584152,2.0438329531678714,5.052518182518978,39.06502491538827,-2.8006361884120565,-1.4292797797391459,5.558998557179913,13.826516139870082,0.942013762253446,5.194428907734806,"[0.06523028761148453, 0.030243486166000366, 0.9032648205757141, 0.0012613063445314765]",Нет асимметрии,Высокая,Средний,Средне-тонкая,Средне-тонкая,Без ассиметрии,Близко,Не выражены,Мезо,Выраженные,Левая вверх,Без наклона,Средний,Нет ассиметрии,Вправо,Средние,Средние,Средне-широкая,Вверх,Прямые,"[7, 104, 680, 1008]",-5.8,-5.8,0.1,"[[196, 471], [502, 459], [351, 634], [231, 794], [490, 783]]",data/humans/15863_1.jpg
5,1.5295764679072033,0.2570379650898929,4.017681439591641,1.448652465918069,5.135452446872135,1.037818970150413,0.9686265679355923,13.926510279857933,1.4227330777731018,0.9899576097839395,-0.5764799077660387,-0.217174879821741,38.709379576079414,3.0434783867942565,-3.469256644268952,4.619279882750019,11.129890896687604,0.869336892790935,-17.00847333783268,"[0.015878023579716682, 0.7641305327415466, 0.11327142268419266, 0.10672006756067276]",Нет асимметрии,Высокая,Средний,Средняя,Средне-тонкая,Без ассиметрии,Средне,Выражены,Мезо,Опущенные,Нет асимметрии,Домиком,Средний,Правый,Вправо,Маленькие,Прижатые,Средне-узкая,Вниз,Полукруг,"[94, 105, 672, 898]",-0.2,-4.4,63.8,"[[249, 429], [530, 426], [382, 569], [286, 733], [500, 728]]",data/humans/wild_1421_1.jpg
6,2.2098118718418234,0.15083411208353945,-10.387534720642861,1.5876254912874823,8.456104357232748,1.002051021254905,1.0635722704904726,6.750646681610891,1.394305495012476,0.31491397595675646,2.0205307934606576,11.999243501788605,40.01904098168892,0.3244554806115074,-0.8316977832777886,5.753968782198766,8.453590278283997,0.7652829855712836,17.50408010713368,"[0.0028224557172507048, 0.00497182784602046, 0.9881656169891357, 0.004040115512907505]",Влево,Низкая,Вверх,Средняя,Средне-полная,Без ассиметрии,Средне,Cредне выражены,Мезо,Гипертонус,Левая вверх,Без наклона,Средне-большой,Нет ассиметрии,Отсутствует,Средние,Прижатые,Узкая,Вверх,Прямые,"[147, 239, 649, 919]",-3.0,-17.1,-1.1,"[[296, 502], [527, 504], [410, 668], [313, 760], [504, 761]]",data/humans/23356_1.jpg
7,8.40141051776139,0.22853278950409484,-1.3747098549099803,0.6363692170364283,6.589486391027692,1.0103445123343755,1.0385963472486834,3.3246837582838533,1.7264433494149254,1.5523363988994723,2.8417334395283866,2.100968179079816,36.1941888066146,-1.3747098549099803,-3.1063201791514556,5.15042827857095,21.636553379238567,0.8145995507792912,13.896160894961767,"[0.07563531398773193, 0.7203213572502136, 0.1823350191116333, 0.02170834317803383]",Влево,Средне-Высокая,Средний,Тонкая,Средняя,Без ассиметрии,Средне,Не выражены,Долих,Опущенные,Левая вверх,Домиком,Средний,Нет ассиметрии,Вправо,Средне-маленькие,Средние,Узкая,Вверх,Полукруг,"[116, 137, 663, 927]",-1.2,-11.2,-1.9,"[[270, 452], [515, 444], [399, 639], [294, 752], [503, 740]]",data/humans/23388_1.jpg
8,-0.5618230188028428,0.25160421795674437,2.6850806079888088,1.501295400411913,7.619465157835771,0.9922666475376686,0.7372259504124803,5.932034171487745,1.3480757841854107,0.64364659038471,0.6715790572175857,4.51974140167756,41.352317803366546,2.6850806079887968,-3.899292653203416,5.227298771553683,10.93536155855591,0.8844904849500682,0.30490934929765956,"[0.23454271256923676, 0.04277618229389191, 0.5774394273757935, 0.1452416479587555]",Нет асимметрии,Высокая,Средний,Средняя,Средняя,Без ассиметрии,Близко,Cредне выражены,Мезо,Выраженные,Нет асимметрии,Без наклона,Средне-большой,Нет ассиметрии,Вправо,Средне-маленькие,Прижатые,Средне-узкая,Пряые,Прямые,"[63, 138, 621, 856]",-3.0,-5.8,4.1,"[[209, 456], [457, 446], [317, 571], [232, 690], [462, 681]]",data/humans/wild_1047_1.jpg
9,-3.4521921958214543,0.2540678347164547,-3.983440571364781,2.0964374454919246,5.17719595463741,1.109616632777386,0.6030221765571525,16.28367172530118,1.4661124294623047,0.42756549092777973,0.9318988301867361,10.271345091438807,33.23467477103319,-3.983440571364777,0.9093804491991415,4.894719667001786,28.451651045961835,0.9392448282191826,-21.207753197142143,"[0.1481265425682068, 0.4444599449634552, 0.3410301208496094, 0.06638342887163162]",Вправо,Высокая,Средний,Полная,Средне-тонкая,Правый больше,Близко,Выражены,Мезо,Выраженные,Нет асимметрии,Без наклона,Маленький,Левый,Влево,Маленькие,Оттопыренные,Средне-широкая,Вниз,Полукруг,"[87, 167, 658, 910]",-0.0,2.1,-7.8,"[[269, 468], [514, 482], [398, 585], [277, 754], [484, 765]]",data/humans/wild_1443_1.jpg
10,-2.5448043798130953,0.1701192203220758,-2.60947732187266,0.9858244600088508,5.481359235288684,1.0577810642919476,0.6411024952890426,7.562477855927816,1.3887785900138954,0.5518263635240146,-0.8882354952397691,13.501351519026933,41.48967833719153,0.20610238687779248,1.0809241866606887,5.620678432384421,14.27745769667991,0.8884280788711123,14.868835342346518,"[0.0887790247797966, 0.03792073205113411, 0.739149808883667, 0.1341504454612732]",Вправо,Средне-Низкая,Средний,Средне-тонкая,Средне-тонкая,Правый больше,Близко,Cредне выражены,Мезо,Выраженные,Нет асимметрии,Средние,Средне-большой,Нет ассиметрии,Влево,Средние,Средние,Средне-узкая,Вверх,Прямые,"[68, 206, 685, 1006]",-1.7,-8.4,0.4,"[[252, 512], [527, 515], [397, 692], [268, 812], [512, 808]]",data/humans/16537_1.jpg
11,-2.36513910108161,0.20803709111892357,-2.7283458980842994,1.7595985521944923,8.709901170054765,0.9521991684043782,1.119812680316671,7.397821096732402,1.487138488415769,0.6890550908720929,4.18049049723025,7.331658015077906,40.424321044275,2.6960005290961577,0.3965086665752473,5.981259320848856,13.34201100015604,0.8740069575693445,2.7006293373952888,"[0.6170564889907837, 0.16152423620224, 0.17122085392475128, 0.050198473036289215]",Вправо,Средняя,Средний,Средняя,Полная,Без ассиметрии,Средне,Cредне выражены,Долих,Выраженные,Левая вверх,Без наклона,Средне-большой,Нет ассиметрии,Отсутствует,Средние,Средние,Средне-узкая,Вверх,Излом,"[126, 142, 690, 931]",-3.0,-7.7,0.1,"[[277, 471], [546, 461], [418, 632], [314, 760], [531, 758]]",data/humans/4095_1.jpg
12,6.217352897100637,0.17589544415228475,-18.596544800859746,0.9982063829383652,8.007949014301797,0.9168980755671038,0.8906207971937389,7.931263314212957,1.428534106914515,0.8140152958254117,1.3982907645637805,13.15050859790944,43.02923496598156,-2.6122421894890167,2.8659539824111264,6.216022887679353,24.783055024676653,0.8470062028792964,15.91712030878843,"[0.0183558389544487, 0.0014443114632740617, 0.0009290193556807935, 0.9792708158493042]",Влево,Средне-Низкая,Вверх,Средне-тонкая,Средне-полная,Левый больше,Близко,Cредне выражены,Мезо,Опущенные,Левая вверх,Средние,Большой,Нет ассиметрии,Влево,Средние,Оттопыренные,Средне-узкая,Вверх,Серпы,"[76, 192, 675, 1054]",-0.2,-10.7,-9.9,"[[249, 544], [532, 555], [401, 735], [267, 847], [512, 848]]",data/humans/5036_1.jpg
13,-0.20197418505416165,0.2578542158937817,-12.069401224036994,1.6157676567271695,11.009958709238859,1.0208407586568047,1.1436737931630985,8.015563215388134,1.6388538992052208,0.9133375370890623,-0.5129927445829416,2.159748628807125,41.017177777163,-2.5421178425846485,0.9098312760643583,6.195624203036268,5.681820331348289,0.8061786534394446,8.89358207835206,"[0.17492178082466125, 0.34582433104515076, 0.03988396003842354, 0.43936997652053833]",Нет асимметрии,Высокая,Вверх,Средняя,Полная,Без ассиметрии,Средне,Cредне выражены,Долих,Опущенные,Нет асимметрии,Домиком,Средне-большой,Нет ассиметрии,Влево,Средние,Прижатые,Узкая,Вверх,Серпы,"[69, 92, 711, 1015]",-2.1,-8.6,-0.8,"[[251, 467], [546, 465], [413, 660], [292, 807], [530, 808]]",data/humans/3110_1.jpg
14,-2.4194250734826963,0.25541025387572275,-17.820973559760887,1.3689986019066982,10.627028288124448,0.9568328016110799,1.1178356421914895,7.791029511435797,1.5599995910641204,1.0154923145766424,1.927420030969097,21.527990487531902,41.07046633303473,-4.734022128848169,-0.6486300755743593,6.533344153180118,8.173125981532529,0.7949021571381273,20.88499168453548,"[0.01746368780732155, 3.745497087948024e-05, 5.6234828662127256e-05, 0.9824426174163818]",Вправо,Высокая,Вверх,Средняя,Полная,Без ассиметрии,Средне,Cредне выражены,Долих,Опущенные,Левая вверх,Атакующие,Средне-большой,Левый,Отсутствует,Большие,Прижатые,Узкая,Вверх,Серпы,"[110, 171, 681, 1001]",-2.8,-14.1,-1.3,"[[270, 520], [536, 510], [397, 696], [290, 816], [521, 810]]",data/humans/6678_1.jpg
15,-2.2025981617658053,0.2589928057553957,-8.461536943114638,1.3150570468647615,6.30506803291324,1.0464097657798686,0.8711828959057741,-0.7644321807290515,1.502407639842755,0.7263607151497622,0.8534099176871184,11.309932474020213,36.93671356478778,1.734857156542788,-1.461310090881229,6.358713355234821,8.46680564419778,0.7605183539194021,6.666659890901366,"[0.24380870163440704, 0.13534876704216003, 0.27478286623954773, 0.3460595905780792]",Вправо,Высокая,Вверх,Средняя,Средняя,Без ассиметрии,Близко,Не выражены,Долих,Выраженные,Нет асимметрии,Без наклона,Средний,Нет ассиметрии,Вправо,Большие,Прижатые,Узкая,Вверх,Серпы,"[62, 140, 686, 1023]",-0.2,-10.0,0.2,"[[241, 498], [532, 494], [382, 690], [263, 835], [514, 834]]",data/humans/4251_1.jpg
16,-1.229334486477892,0.2422812690207034,5.875192730295083,1.4392422797641615,5.806398518345726,1.0524898130765135,0.7935657906421366,13.709969648421726,1.4118040823122553,0.8213609076279306,0.05277921044691025,14.72168481702192,36.261910602198284,-0.15038227807159288,-0.17815373693414482,5.300371733378452,21.869006069143754,1.0168582731399214,-12.35580781820144,"[0.5254974961280823, 0.019535979256033897, 0.431520938873291, 0.02344556897878647]",Нет асимметрии,Высокая,Вниз,Средняя,Средне-тонкая,Правый больше,Близко,Выражены,Мезо,Опущенные,Нет асимметрии,Средние,Средний,Нет ассиметрии,Отсутствует,Средне-маленькие,Средние,Широкая,Вниз,Излом,"[115, 176, 691, 904]",-1.7,4.6,-7.5,"[[276, 480], [534, 473], [399, 585], [304, 738], [509, 735]]",data/humans/5230_1.jpg
