272, 546
277, 620
292, 691
304, 759
321, 827
355, 886
408, 931
477, 961
550, 970
622, 960
691, 929
747, 886
782, 826
800, 755
811, 684
826, 611
831, 535
313, 491
350, 463
400, 457
448, 465
495, 486
599, 491
646, 469
696, 460
748, 463
787, 490
547, 547
547, 596
548, 646
549, 696
504, 731
527, 740
551, 746
574, 737
597, 726
366, 566
396, 543
436, 542
469, 567
434, 578
395, 579
630, 562
665, 538
704, 538
735, 559
706, 571
666, 570
466, 835
503, 810
532, 795
554, 800
575, 794
607, 806
646, 826
608, 845
577, 853
553, 855
530, 856
502, 854
483, 832
532, 818
554, 820
575, 817
629, 823
575, 817
553, 820
531, 819
